"source","intensity","distance","X","Total","Yes","userID","Correct","signal"
"JND-in-Charts/rawdata/bar/100_119.csv",100,9,101.05,10,6,"100_119",6,1.05
"JND-in-Charts/rawdata/bar/100_119.csv",100,9,101.525,10,8,"100_119",8,1.52500000000001
"JND-in-Charts/rawdata/bar/100_119.csv",100,9,102,10,8,"100_119",8,2
"JND-in-Charts/rawdata/bar/100_119.csv",100,93,95,10,2,"100_119",8,-5
"JND-in-Charts/rawdata/bar/100_119.csv",100,93,96.125,10,1,"100_119",9,-3.875
"JND-in-Charts/rawdata/bar/100_119.csv",100,93,97.25,10,5,"100_119",5,-2.75
"JND-in-Charts/rawdata/bar/100_119.csv",100,93,98.375,10,4,"100_119",6,-1.625
"JND-in-Charts/rawdata/bar/100_119.csv",100,93,99.5,10,4,"100_119",6,-0.5
"JND-in-Charts/rawdata/bar/100_119.csv",100,93,100.5,10,6,"100_119",6,0.5
"JND-in-Charts/rawdata/bar/100_119.csv",100,93,101.625,10,5,"100_119",5,1.625
"JND-in-Charts/rawdata/bar/100_119.csv",100,93,102.75,10,7,"100_119",7,2.75
"JND-in-Charts/rawdata/bar/100_119.csv",100,93,103.875,10,3,"100_119",3,3.875
"JND-in-Charts/rawdata/bar/100_119.csv",100,93,105,10,5,"100_119",5,5
"JND-in-Charts/rawdata/bar/100_119.csv",100,177,93,10,3,"100_119",7,-7
"JND-in-Charts/rawdata/bar/100_119.csv",100,177,94.625,10,3,"100_119",7,-5.375
"JND-in-Charts/rawdata/bar/100_119.csv",100,177,96.25,10,3,"100_119",7,-3.75
"JND-in-Charts/rawdata/bar/100_119.csv",100,177,97.875,10,6,"100_119",4,-2.125
"JND-in-Charts/rawdata/bar/100_119.csv",100,177,99.5,10,5,"100_119",5,-0.5
"JND-in-Charts/rawdata/bar/100_119.csv",100,177,100.5,10,5,"100_119",5,0.5
"JND-in-Charts/rawdata/bar/100_119.csv",100,177,102.125,10,4,"100_119",4,2.125
"JND-in-Charts/rawdata/bar/100_119.csv",100,177,103.75,10,5,"100_119",5,3.75
"JND-in-Charts/rawdata/bar/100_119.csv",100,177,105.375,10,6,"100_119",6,5.375
"JND-in-Charts/rawdata/bar/100_119.csv",100,177,107,10,7,"100_119",7,7
"JND-in-Charts/rawdata/bar/100_119.csv",100,261,92,10,3,"100_119",7,-8
"JND-in-Charts/rawdata/bar/100_119.csv",100,261,93.875,10,2,"100_119",8,-6.125
"JND-in-Charts/rawdata/bar/100_119.csv",100,261,95.75,9,2,"100_119",7,-4.25
"JND-in-Charts/rawdata/bar/100_119.csv",100,261,97.625,10,5,"100_119",5,-2.375
"JND-in-Charts/rawdata/bar/100_119.csv",100,261,99.5,10,8,"100_119",2,-0.5
"JND-in-Charts/rawdata/bar/100_119.csv",100,261,100.5,10,7,"100_119",7,0.5
"JND-in-Charts/rawdata/bar/100_119.csv",100,261,102.375,10,6,"100_119",6,2.375
"JND-in-Charts/rawdata/bar/100_119.csv",100,261,104.25,10,6,"100_119",6,4.25
